nombre_entidad;tipo
3 SM S.A.;BILLETERA
ABUNDANTIA SRL;BILLETERA
AC Internacional Finanzas S.R.L.;BILLETERA
ACQ Y MAS S.A.;BILLETERA
Adelantos Pay S.A.;BILLETERA
ADMINISTRADORA SAN JUAN S.A.;BILLETERA
ADVANCE QUALITY SA;BILLETERA
Airata S.A.;BILLETERA
ALAU TECNOLOGIA S. A. U.;BILLETERA
ALZ MERCADOS SA;BILLETERA
APG ADVISORS SA;BILLETERA
ARG1 PSP S.A.;BILLETERA
ARGPAGOS S.A.;BILLETERA
ARGY PAY S.A;BILLETERA
ATOM PAY S.A;BILLETERA
ATOQ Digital S.A.;BILLETERA
BALANZ PAYMENTS S.A.U.;BILLETERA
Bamba S.A.;BILLETERA
BCLOUD SA;BILLETERA
BenkoPay S.A.;BILLETERA
BILLETERAPAIS S A;BILLETERA
BIND PSP S.A.;BILLETERA
BIVO S.A.S.;BILLETERA
BIZLAND PAYMENT SOLUTIONS SA;BILLETERA
BLOCK DIGITAL SERVICES S.A.;BILLETERA
BLOCK4BLOCK PAYMENTS RAIL S.A.;BILLETERA
Blockchain Payments Rails S.A.;BILLETERA
BRIDGE SOLUTIONS SA;BILLETERA
BUHAPAY S.A.;BILLETERA
C-TECH S.A.;BILLETERA
CARDCRED DIGITAL S.A.;BILLETERA
CENCOSUD S A;BILLETERA
CHI CAPITAL S.A.;BILLETERA
CHRONOSWALLET S.A.;BILLETERA
Cobro Inmediato Technologies SA;BILLETERA
COMPAÑIA ALTAS SIERRAS HERMANAS S.R.L;BILLETERA
CONEXION DE ALTURA S. A.;BILLETERA
Confluencia FTO S.R.L.;BILLETERA
CORPOTECH S.A.;BILLETERA
CREDENCIAL ARGENTINA S.A.;BILLETERA
CREDINOS COOPERATIVA DE VIVIENDA, CREDITO, CONSUMO, SERVICIOS ASISTENCIALES Y DE TURISMO LTDA;BILLETERA
CREDISI SRL;BILLETERA
CRESIUM SA;BILLETERA
CUMAR SA;BILLETERA
Daruma Pagos SA;BILLETERA
Data 2000 S.A.;BILLETERA
DATAPAY S.A.;BILLETERA
DataPay Solutions SA;BILLETERA
DE CAMPO A CAMPO S.R.L.;BILLETERA
DIGIFIN S. A.;BILLETERA
Digipayments S.A.U;BILLETERA
DIGITALPAGO SRL;BILLETERA
E Servicios SAS;BILLETERA
E-COBRO S.A.;BILLETERA
E-PAGOS S.A.;BILLETERA
ECASH MEDIOS DE PAGOS S.A.S;BILLETERA
EFECTIVO DIGITAL S.R.L.;BILLETERA
Estudio Gallo S.R.L;BILLETERA
Eterna Finance S.R.L;BILLETERA
EVAPAR S.A.;BILLETERA
Excellent Pay S.R.L.;BILLETERA
FABER EXPRESS SRL;BILLETERA
FCM PAYMENT SOLUTIONS S.A.S.;BILLETERA
FEDERACION ARGENTINA DE CAMARAS DE FARMACIAS;BILLETERA
FERSI S.A.;BILLETERA
FÉRTIL FINANZAS S. A.;BILLETERA
Fidufina S.A.S.;BILLETERA
Finpay SA;BILLETERA
